idPreFrePK;pregResCont;idAreaPreFreFK
1;"1. ¿Cuándo se llevarán a cabo los Juegos Panamericanos?
Los Juegos se llevarán a cabo desde el 26 de julio al 11 de agosto. ";1
2;"2. ¿Cuántos deportes y disciplinas tendrán los Juegos Panamericanos? Los Juegos Panamericanos contarán con 39 deportes y 61 disciplinas. ";1
3;"3. ¿Cuántos deportistas participarán en los Juegos Panamericanos?
En los Juegos Panamericanos participarán 6680 deportistas. ";1
4;"4. ¿Cuántas delegaciones participarán en los Juegos Panamericanos?
Participarán 41 delegaciones en los Juegos Panamericanos.";1
5;"1. ¿Cuántos voluntarios podrán participar en los jeugos Panamericanos Lima 2019? Necesitamos 12mil voluntarios y voluntarias para los XVIII Juegos Panamericanos. La convocatoria de voluntarios y voluntarias estará abierta a nivel ancional e internacional.";2
6;"2. ¿Hay un límite de edad?
Los límites los pones tú. Solo debes ser mayor de 16 años al 01 de abril de 2019, día en el cual se da inicio a las actividades previas de los Juegos Panamericanos. ";2
7;"3. ¿Las personas con discapacidad pueden participar en el programa de Voluntariado?
¡Te necesitamos! Esperamos que las personas con discapacidad participen en los Juegos Panamericanos y/o en los Juegos Parapanamericanos. ";2
8;"4. Si soy extranjero, ¿también puedo ser voluntario o voluntaria de los Juegos Panamericanos Lima 2019?
¡Por supuesto! Las inscripciones del Programa de Voluntariado se lanzarán a nivel nacional como internacional. ";2
9;"1. ¿Cómo puedo postular a las convocatorias de Lima2019?
Puedes conocer las convocatorias laborales en la sección Trabaja con Nosotros ";3
10;"2. ¿Cómo me puedo contactar con el área de selección de personal?
Si tienes una consulta sobre un proceso puedes escribir a consultascas@lima2019.pe ";3
11;"3. He postulado a una convocatoria y tengo dudas sobre el proceso ¿Cómo puedo contactarlos?
Puedes escribir a convocatorias@lima2019.pe ";3
12;"4. Si soy extranjero, ¿puedo postular a una convocatoria?
Todos pueden postular siempre y cuando cumplan con los requisitos y la correcta presentación de los formatos y/o anexos según lo indican las bases. ";3
13;"1. ¿Cuál es el número de obras listas para los Juegos Lima 2019?
Actualmente contamos con 10 sedes entregadas para la realización de los juegos Lima 2019. ";4
14;"2. ¿Cuándo estarán listas las demás obras?
La infraestructura en construcción estará lista en marzo de 2019, fecha en la que estará ejecutada el 100% de las obras. ";4
15;"3. ¿Cuál es la sede de inauguración y clausura de los Juegos Lima 2019?
La inauguración y clausura de los Juegos Lima 2019 será en el Estadio Nacional. ";4
16;"4. ¿Cuántas sedes de competencia tiene Lima 2019?
Contamos con 19 sedes de competencia para la realización de los Juegos Panamericanos y Parapanamericanos. ";4
17;"1. ¿Está lista la programación de las competencias?
La programación final está lista, los detalles los puedes ver a través de nuestros canales oficiales. ";5
19;"2. ¿Cómo puedo competir en los Juegos Panamericanos?
Para participar en los Juegos Panamericanos debes ser un atleta de alto rendimiento y ser seleccionado por la federación nacional de tu deporte. ";5
20;"3. ¿Cómo puedo saber el sistema de clasificación a Lima 2019?
Puedes conocer el manual de clasificación a nuestros juegos aquí http://www.panamsports.org/downloads/pdf/manual-de-sistemas-de-clasificacion-lima-2019.pdf ";5
21;"4. ¿Cuántas delegaciones participarán en los Juegos Panamericanos?
Participarán 41 delegaciones en los Juegos Panamericanos. ";5
22;"1. ¿Cuándo inicia la venta de tickets?
La venta de tickets iniciará el 27 de mayo. Estaremos informando todos los detalles a través de nuestros canales oficiales. ";6
23;"1. ¿Cómo puedo ser proveedor de los Juegos?
Puedes conocer los procesos de contrataciones que se llevaron o se están llevando en la sección de Contrataciones. ";7
24;"1. ¿A qué teléfono me puedo comunicar?
El número de nuestra central telefónica es 4105500. Si estás fuera de Perú deberás anteponerle el código (511). ";8
25;"2. Quisiéramos compartir una nota de prensa con ustedes, ¿a qué correo la podemos compartir?
Puedes escribir a prensa@lima2019.pe para compartir tu información. ";8
